Id,X,Y,Z,year,distance_rtk_m
400_21,205684.835,609183.143,0.877,2025,462.0746734448988
400_22,205684.7,609182.505,0.794,2025,462.7094510687435
400_23,205684.651,609182.211,1.07,2025,463.00228491252733
400_24,205684.638,609180.933,1.079,2025,464.27968378566436
400_25,205684.709,609176.537,1.095,2025,468.67618112591504
400_26,205684.829,609173.704,1.159,2025,471.5111400345772
400_27,205685.16,609168.534,1.128,2025,476.68728493039185
400_28,205685.341,609164.43,1.068,2025,480.79436404950087
400_29,205685.488,609160.59,1.106,2025,484.6367439222348
400_30,205685.531,609156.454,1.05,2025,488.7726250996899
400_31,205685.617,609153.418,1.114,2025,491.8098031524189
400_32,205685.613,609151.632,1.048,2025,493.5952317030882
400_33,205685.704,609149.77,1.104,2025,495.4588397354602
400_34,205686.11,609145.237,1.02,2025,500.0001853105339
400_35,205686.377,609142.443,1.087,2025,502.7998767427404
500,205686.515,609141.207,1.076,2025,504.038929976624
500_1,205686.29,609134.764,1.098,2025,510.4744861777243
500_2,205685.981,609129.746,1.145,2025,515.483921867476
500_3,205685.959,609129.296,1.028,2025,515.9333084295014
500_4,205685.928,609128.825,0.68,2025,516.4034902840822
500_5,205685.618,609128.3,0.71,2025,516.9215399855265
500_6,205685.654,609127.967,0.779,2025,517.2552395529826
500_7,205685.612,609127.657,0.99,2025,517.5642619961911
500_8,205685.328,609125.031,1.043,2025,520.1837179610013
500_9,205685.201,609123.694,0.966,2025,521.517864656903
500_10,205685.173,609122.647,0.679,2025,522.5640947912354
500_11,205685.452,609121.449,0.666,2025,523.7675117148902
500_12,205685.515,609120.628,0.572,2025,524.5896410682955
500_13,205685.529,609120.186,1.083,2025,525.0318366301398
500_14,205685.315,609118.762,1.148,2025,526.4511596628201
500_15,205685.121,609114.681,1.071,2025,530.5275358193508
500_16,205685.136,609109.397,1.133,2025,535.8108467295108
500_17,205684.963,609105.295,1.068,2025,539.908875421945
500_18,205684.936,609103.472,0.909,2025,541.7310726990622
500_19,205684.889,609101.886,0.746,2025,543.3159567188582
500_20,205684.974,609100.365,0.588,2025,544.8382487646711
500_21,205684.887,609098.888,0.39,2025,546.313435243723
500_22,205684.907,609097.756,0.183,2025,547.4456118713252
500_23,205685,609097.05,0.218,2025,548.1531736346042
500_24,205685.044,609096.16,0.378,2025,549.0438261757253
500_25,205685.289,609095.418,0.797,2025,549.790234267547
500_26,205685.481,609094.766,1.057,2025,550.4457738876854
500_27,205685.21,609092.743,0.83,2025,552.4632961382633
500_28,205684.807,609086.005,1.082,2025,559.1930567108739
500_29,205684.317,609079.615,1.113,2025,565.5741838795398
500_30,205684.17,609072.74,1.072,2025,572.4461324574548
500_31,205683.854,609065.899,1.097,2025,579.2818467571883
500_32,205683.21,609059.271,1.086,2025,585.900867261654
500_33,205682.724,609052.465,1.071,2025,592.7008239132979
600,205682.069,609046.411,1.048,2025,598.7479753607984
600_1,205681.799,609037.978,1.022,2025,607.1782873210304
600_2,205681.751,609031.521,1.05,2025,613.6346718460987
600_3,205681.779,609024.608,1.074,2025,620.5476718227981
600_4,205682.266,609016.106,1.008,2025,629.0535157842961
600_5,205682.725,609009.171,1.043,2025,635.9925274336209
600_6,205683.366,608998.688,1.056,2025,646.4816270728395
600_7,205683.557,608991.452,1.052,2025,653.7192988882084
600_8,205682.947,608987.891,1.076,2025,657.273681739533
600_9,205682.69,608983.68,1.088,2025,661.4820339848604
600_10,205682.697,608981.285,1.089,2025,663.876996479805
600_11,205682.726,608979.89,0.985,2025,665.272204842884
600_12,205682.738,608979.397,0.909,2025,665.7652948330978
600_13,205682.925,608978.823,0.766,2025,666.3410366350643
600_14,205682.953,608978.232,0.707,2025,666.9322794717457
600_15,205683.04,608977.669,0.652,2025,667.4961018871916
600_16,205683.048,608977.449,0.695,2025,667.7161700094975
600_17,205682.991,608977.21,0.907,2025,667.9546002046595
600_18,205683.02,608976.727,1.097,2025,668.4378602443735
600_19,205682.922,608975.132,1.068,2025,670.0318379083092
600_20,205682.722,608973.31,1.062,2025,671.85189030419
600_21,205682.783,608971.308,1.069,2025,673.8543653566811
600_22,205683.182,608963.967,1.075,2025,681.1988358721085
600_23,205683.144,608958.023,1.077,2025,687.1421815370477
600_24,205683.405,608954.164,1.071,2025,691.00357309039
600_25,205683.415,608951.983,1.085,2025,693.184562987035
600_26,205683.505,608950.315,1.108,2025,694.8533903100949
600_27,205683.539,608948.774,1.111,2025,696.3946575573952
600_28,205683.642,608945.682,1.056,2025,699.4875557384801
600_29,205684.072,608938.525,1.085,2025,706.6487533731125
600_30,205684.325,608932.986,1.096,2025,712.1902444243202
600_31,205684.426,608930.923,1.055,2025,714.2542674274524
600_32,205684.465,608922.997,1.049,2025,722.1801919844354
600_33,205684.528,608915.422,1.083,2025,729.7554172903691
600_34,205684.389,608909.737,1.115,2025,735.4384986291415
600_35,205684.456,608903.284,1.105,2025,741.8918450353651
600_36,205684.192,608901.622,0.997,2025,743.5508990159173
600_37,205684.201,608900.784,0.926,2025,744.3889473283359
600_38,205684.2,608900.311,0.82,2025,744.8619105045592
600_39,205684.261,608899.896,0.686,2025,745.2775329777745
600_40,205684.278,608899.505,0.605,2025,745.6686918019176
600_41,205684.302,608899.296,0.77,2025,745.8779361166459
600_42,205684.189,608898.971,0.982,2025,746.2017207679219
600_43,205684.23,608897.899,1.095,2025,747.2740927262928
750,205684.649,608896.621,1.035,2025,748.5565818793239
750_1,205684.454,608893.274,1.087,2025,751.9012239289106
750_2,205685.048,608886.732,1.092,2025,758.4495138123426
750_3,205685.257,608879.505,1.062,2025,765.6784816425125
750_4,205685.718,608876.743,1.095,2025,768.4459432805221
750_5,205685.754,608876.225,0.622,2025,768.9643581858287
750_6,205685.922,608874.661,0.546,2025,770.5303849439905
750_7,205685.64,608872.801,0.609,2025,772.3866537440556
750_8,205685.703,608871.131,0.786,2025,774.0573099465568
750_9,205685.84,608870.422,0.94,2025,774.7679825932491
750_10,205685.721,608869.232,1.122,2025,775.9563865205
750_11,205686,608862.34,1.113,2025,782.8513670132199
750_12,205686.019,608860.281,1.077,2025,784.9104414270282
750_13,205686.264,608851.15,1.141,2025,794.0438435894565
750_14,205686.607,608841.614,1.072,2025,803.583537526822
750_15,205687.28,608833.982,1.06,2025,811.2241012703598
750_16,205687.625,608826.502,1.21,2025,818.708301661815
750_17,205687.3,608819.376,1.053,2025,825.8289303422541
750_18,205687.198,608811.644,1.102,2025,833.5587856655695
750_19,205687.458,608806.189,1.114,2025,839.0168514536156
750_20,205687.867,608797.721,1.103,2025,847.489787801926
750_21,205688.076,608789.98,1.115,2025,855.2329971695394
750_22,205688.251,608782.13,1.098,2025,863.0847118389764
750_23,205688.186,608779.381,1.023,2025,865.8324794437599
750_24,205688.02,608778.046,1.088,2025,867.1649691098661
750_25,205688.092,608770.963,1.124,2025,874.2482788654427
750_26,205688.514,608763.792,1.079,2025,881.4245971583348
750_27,205688.552,608762.325,1.074,2025,882.8919954221591
750_28,205688.543,608760.815,1.127,2025,884.401703718574
750_29,205688.518,608758.962,1.1,2025,886.2541453044712
750_30,205688.546,608756.798,1.145,2025,888.4183238601244
750_31,205688.618,608755.419,1.111,2025,889.7982237467166
750_32,205688.626,608754.248,1.179,2025,890.9692162206993
750_33,205688.814,608752.164,1.115,2025,893.0557466543886
900,205688.772,608751.575,1.151,2025,893.6440644384418
900_1,205689.456,608745.096,1.162,2025,900.1326495876561
900_2,205689.466,608744.521,1.116,2025,900.7077355064695
900_3,205689.521,608743.199,1.115,2025,902.0304298646927
900_4,205689.652,608742.183,1.217,2025,903.0483523240309
900_5,205689.762,608740.493,1.243,2025,904.7398757825072
900_6,205689.829,608737.836,1.099,2025,907.3976034819367
900_7,205689.772,608736.036,1.12,2025,909.1964790676238
900_8,205689.95,608733.365,1.226,2025,911.8699612633823
